stop_id,graph_degree,Degree,Closeness,Betweenness,in_largest_component,stop_name,stop_lat,stop_lon,station_cluster,is_station,route_count,routes_serving,is_major_hub_cluster,max_pax_per_vehicle_hour_2024_serving_route
3893,2,0.00024829298572315333,0.0362961292691758,0.0,True,Jane St at Firgrove Cres (South) South Side,43.750435,-79.516103,,False,3,"335,35,99",False,50.8
3885,2,0.00024829298572315333,0.03656442968647141,2.3283313822176505e-05,True,Jane St at Eddystone Ave,43.749223,-79.515798,,False,3,"335,35,99",False,50.8
3894,4,0.0004965859714463067,0.03795248495573271,0.007281503503368767,True,Jane St at Frith Rd,43.746533,-79.515127,,False,4,"335,35,935,99",False,53.2
3876,2,0.00024829298572315333,0.03656442968647141,0.0016197578636659197,True,Jane St at Courage Ave South Side,43.744734,-79.514671,,False,3,"335,35,99",False,50.8
3930,2,0.00024829298572315333,0.03554981952951099,0.0,True,Jane St at Stanley Rd,43.743153,-79.514309,,False,3,"335,35,99",False,50.8
3873,2,0.00024829298572315333,0.035874399391940835,0.0005024174529469434,True,Jane St at Clair Rd,43.741335,-79.513842,,False,3,"335,35,99",False,50.8
3921,5,0.0006207324643078833,0.03720960273357765,0.007047546369857165,True,Jane St at Sheppard Ave West,43.739514,-79.513403,,False,4,"335,35,935,99",False,53.2
10616,2,0.00024829298572315333,0.03587455940407026,6.26412038360694e-05,True,Jane St at Sheppard Ave West South Side,43.738911,-79.513248,,False,2,"335,35",False,50.8
3897,2,0.00024829298572315333,0.035086590801820604,0.0,True,Jane St at Giltspur Dr,43.734721,-79.512059,,False,2,"335,35",False,50.8
3871,2,0.00024829298572315333,0.03531474792438154,5.463123913583314e-07,True,Jane St at Chalkfarm Dr (South) South Side,43.72463,-79.509687,,False,2,"335,35",False,50.8
3939,2,0.00024829298572315333,0.036230076258676844,8.102058937668573e-05,True,Jane St at William Cragg Dr,43.72265,-79.509187,,False,2,"335,35",False,50.8
