display_name,entity_type,Degree,Closeness,Betweenness,route_count,platform_stop_count
Wynford Dr at Wynford Heights Cres South Side,street_stop,0.00024829298572315333,0.04102945706919218,0.0002998973790170058,1,1
St Dennis Dr at Linkwood Lane,street_stop,0.00024829298572315333,0.04103908721770013,0.0010266966424510623,1,1
Deauville Lane at St Dennis Dr South Side,street_stop,0.0004965859714463067,0.039976760851692626,0.001010138025915529,2,1
Deauville Lane at Grenoble Dr South Side,street_stop,0.00024829298572315333,0.03878071750928771,0.000607185045114799,1,1
Grenoble Dr at Vendome Pl,street_stop,0.00024829298572315333,0.038727685581607094,5.445042887695762e-05,1,1
Grenoble Dr at Spanbridge Rd,street_stop,0.00024829298572315333,0.039456278118156565,0.001569331799517268,1,1
Gateway Blvd South Side at Sunny Glenway East Side,street_stop,0.0004965859714463067,0.04066888712670271,0.0017901822692612018,3,1
Gateway Blvd at Sunny Glenway (West) West Side,street_stop,0.00024829298572315333,0.04002410735428876,0.00034701309485817266,3,1
Gateway Blvd at Don Mills Rd,street_stop,0.00024829298572315333,0.041682453108037164,0.0004245734005044812,3,1
Overlea Blvd at Don Mills Rd West Side,street_stop,0.0006207324643078833,0.043488864030591656,0.006057518746357664,6,1
Overlea Blvd at William Morgan Dr West Side,street_stop,0.00037243947858473,0.04227597618540732,0.00039956739519068804,5,1
Overlea Blvd at Thorncliffe Park Dr (East) West Side,street_stop,0.0006207324643078833,0.042990028698881515,0.005852225910956637,4,1
46 Overlea Blvd,street_stop,0.00024829298572315333,0.04218196749044832,0.0,3,1
Overlea Blvd at Thorncliffe Park Dr (West),street_stop,0.0004965859714463067,0.04337956134660344,0.007492990321619501,4,1
Overlea Blvd at Leaside Park Dr,street_stop,0.0004965859714463067,0.041604401328742054,0.0019056210794136505,5,1
Millwood Rd at Overlea Blvd South Side,street_stop,0.0004965859714463067,0.04034796890390709,0.0010863873440001921,5,1
Pape Ave at Hopedale Ave,street_stop,0.00024829298572315333,0.03880897324567781,0.00014680537937693244,4,1
