Page,Metric,Route,Year,Value,Recovery_Rate_pct
2,Vehicle Hours,46 MARTINGROVE,2022,126,84
2,Vehicle Hours,46 MARTINGROVE,2023,128,85
2,Vehicle Hours,46 MARTINGROVE,2024,155,103
2,Vehicle Hours,47 LANSDOWNE,2019,242,
2,Vehicle Hours,47 LANSDOWNE,2020,242,100
2,Vehicle Hours,47 LANSDOWNE,2021,205,85
2,Vehicle Hours,47 LANSDOWNE,2022,199,82
2,Vehicle Hours,47 LANSDOWNE,2023,200,83
2,Vehicle Hours,47 LANSDOWNE,2024,247,102
2,Vehicle Hours,48 RATHBURN,2019,40,
2,Vehicle Hours,48 RATHBURN,2020,35,88
2,Vehicle Hours,48 RATHBURN,2021,28,70
2,Vehicle Hours,48 RATHBURN,2022,28,70
2,Vehicle Hours,48 RATHBURN,2023,43,108
2,Vehicle Hours,48 RATHBURN,2024,31,78
3,Vehicle Kilometres,7 BATHURST,2019,5440,
3,Vehicle Kilometres,7 BATHURST,2020,5377,99
3,Vehicle Kilometres,7 BATHURST,2021,4479,82
3,Vehicle Kilometres,7 BATHURST,2022,4278,79
3,Vehicle Kilometres,7 BATHURST,2023,3986,73
3,Vehicle Kilometres,7 BATHURST,2024,4755,87
3,Vehicle Kilometres,8 BROADVIEW,2019,333,
3,Vehicle Kilometres,8 BROADVIEW,2020,333,100
3,Vehicle Kilometres,8 BROADVIEW,2021,368,111
3,Vehicle Kilometres,8 BROADVIEW,2022,338,102
3,Vehicle Kilometres,8 BROADVIEW,2023,1030,309
3,Vehicle Kilometres,8 BROADVIEW,2024,1194,359
3,Vehicle Kilometres,9 BELLAMY,2019,1660,
3,Vehicle Kilometres,9 BELLAMY,2020,1608,97
3,Vehicle Kilometres,9 BELLAMY,2021,1576,95
3,Vehicle Kilometres,9 BELLAMY,2022,1613,97
3,Vehicle Kilometres,9 BELLAMY,2023,1559,94
3,Vehicle Kilometres,9 BELLAMY,2024,1526,92
3,Vehicle Kilometres,10 VAN HORNE,2019,408,
3,Vehicle Kilometres,10 VAN HORNE,2020,243,60
3,Vehicle Kilometres,10 VAN HORNE,2021,152,37
3,Vehicle Kilometres,10 VAN HORNE,2022,158,39
3,Vehicle Kilometres,10 VAN HORNE,2023,178,44
3,Vehicle Kilometres,10 VAN HORNE,2024,177,43
3,Vehicle Kilometres,11 BAYVIEW,2019,3019,
3,Vehicle Kilometres,11 BAYVIEW,2020,2745,91
3,Vehicle Kilometres,11 BAYVIEW,2021,2677,89
3,Vehicle Kilometres,11 BAYVIEW,2022,2685,89
3,Vehicle Kilometres,11 BAYVIEW,2023,2555,85
3,Vehicle Kilometres,11 BAYVIEW,2024,3201,106
3,Vehicle Kilometres,12 KINGSTON RD.,2019,3156,
3,Vehicle Kilometres,12 KINGSTON RD.,2020,3000,95
3,Vehicle Kilometres,12 KINGSTON RD.,2021,2674,85
3,Vehicle Kilometres,12 KINGSTON RD.,2022,3210,102
3,Vehicle Kilometres,12 KINGSTON RD.,2023,3169,100
3,Vehicle Kilometres,12 KINGSTON RD.,2024,3066,97
3,Vehicle Kilometres,5/13 AVENUE RD.,2019,693,
3,Vehicle Kilometres,5/13 AVENUE RD.,2020,537,77
